Company,System,AutoParallel,EnabledCores,EnabledChips,CoresPerChip,ThreadsPerCore,Base,Peak,CPU
Cisco Systems,"Cisco UCS C240 M5 (Intel Xeon Platinum 8180, 2.50GHz)",Yes,56,2,28,1,152.0,Not Run,Intel Xeon Platinum 8180
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Gold 6138, 2.00GHz)",Yes,80,4,20,1,137.0,145,Intel Xeon Gold 6138
Cisco Systems,"Cisco UCS C480 M5 (Intel Xeon Platinum 8168, 2.70GHz)",Yes,96,4,24,1,142.0,152,Intel Xeon Platinum 8168
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 5118 2.30GHz),Yes,48,4,12,1,122.0,128,Intel Xeon Gold 5118 2.30GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8153 2.00GHz),Yes,64,4,16,1,120.0,125,Intel Xeon Platinum 8153 2.00GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6148 2.40GHz),Yes,80,4,20,1,143.0,150,Intel Xeon Gold 6148 2.40GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8160 2.10GHz),Yes,96,4,24,1,141.0,148,Intel Xeon Platinum 8160 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6152 2.10GHz),Yes,88,4,22,1,139.0,146,Intel Xeon Gold 6152 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6130 2.10GHz),Yes,64,4,16,1,141.0,148,Intel Xeon Gold 6130 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6144 3.50GHz),Yes,32,4,8,1,159.0,164,Intel Xeon Gold 6144 3.50GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8164 2.00GHz),Yes,104,4,26,1,139.0,146,Intel Xeon Platinum 8164 2.00GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 6146 3.20GHz),Yes,48,4,12,1,152.0,158,Intel Xeon Gold 6146 3.20GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8170 2.10GHz),Yes,104,4,26,1,140.0,148,Intel Xeon Platinum 8170 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Platinum 8176 2.10GHz),Yes,112,4,28,1,140.0,148,Intel Xeon Platinum 8176 2.10GHz
Cisco Systems,Cisco UCS C480 M5 (Intel Xeon Gold 5120 2.20GHz),Yes,56,4,14,1,122.0,128,Intel Xeon Gold 5120 2.20GHz
Cisco Systems,"Cisco UCS C220 M5 (Intel Xeon Gold 6138, 2.00GHz)",Yes,40,2,20,1,138.0,146,Intel Xeon Gold 6138
