Company,System,Parallel,BaseThreads,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
Lenovo Global Technology,"ThinkSystem SR950 (2.70 GHz, Intel Xeon Platinum 8168)",Yes,96,96,4,1,9.05,9.31,--,--,"2.70 GHz, Intel Xeon Platinum 8168",Intel Xeon Platinum 8168,Intel Xeon Platinum 8168
Lenovo Global Technology,"ThinkSystem SR950 (2.10 GHz, Intel Xeon Platinum 8170)",Yes,104,104,4,1,9.1,9.38,--,--,"2.10 GHz, Intel Xeon Platinum 8170",Intel Xeon Platinum 8170,Intel Xeon Platinum 8170
Lenovo Global Technology,"ThinkSystem SR950 (2.10 GHz, Intel Xeon Platinum 8170M)",Yes,104,104,4,1,9.06,9.34,--,--,"2.10 GHz, Intel Xeon Platinum 8170M",Intel Xeon Platinum 8170M,Intel Xeon Platinum 8170M
Lenovo Global Technology,"ThinkSystem SR850 (2.30 GHz, Intel Xeon Gold 6140)",Yes,72,72,4,1,8.85,9.04,--,--,"2.30 GHz, Intel Xeon Gold 6140",Intel Xeon Gold 6140,Intel Xeon Gold 6140
Lenovo Global Technology,"ThinkSystem SR650 (2.70 GHz, Intel Xeon Gold 6150)",Yes,36,36,2,1,8.83,9.08,--,--,"2.70 GHz, Intel Xeon Gold 6150",Intel Xeon Gold 6150,Intel Xeon Gold 6150
Lenovo Global Technology,"ThinkSystem SR650 (2.10 GHz, Intel Xeon Gold 6152)",Yes,44,44,2,1,8.89,9.18,--,--,"2.10 GHz, Intel Xeon Gold 6152",Intel Xeon Gold 6152,Intel Xeon Gold 6152
Lenovo Global Technology,"ThinkSystem SR650 (2.00 GHz, Intel Xeon Platinum 8164)",Yes,52,52,2,1,9.02,9.31,--,--,"2.00 GHz, Intel Xeon Platinum 8164",Intel Xeon Platinum 8164,Intel Xeon Platinum 8164
Lenovo Global Technology,"ThinkSystem SR650 (2.10 GHz, Intel Xeon Platinum 8170)",Yes,52,52,2,1,9.06,9.32,--,--,"2.10 GHz, Intel Xeon Platinum 8170",Intel Xeon Platinum 8170,Intel Xeon Platinum 8170
Lenovo Global Technology,"ThinkSystem SR630 (2.10 GHz, Intel Xeon Platinum 8160)",Yes,48,48,2,1,9.0,9.29,--,--,"2.10 GHz, Intel Xeon Platinum 8160",Intel Xeon Platinum 8160,Intel Xeon Platinum 8160
Lenovo Global Technology,"ThinkSystem SR530 (2.10 GHz, Intel Xeon Silver 4110)",Yes,16,16,2,1,6.91,7.11,--,--,"2.10 GHz, Intel Xeon Silver 4110",Intel Xeon Silver 4110,Intel Xeon Silver 4110
