Company,System,BaseCopies,EnabledCores,EnabledChips,ThreadsPerCore,Base,Peak,BaseEnergy,PeakEnergy,CPU,SCPU,CPU0
HPE,"ProLiant DL380 Gen10 (3.50 GHz, Intel Xeon Gold 6144)",32,16,2,2,116.0,Not Run,--,--,"3.50 GHz, Intel Xeon Gold 6144",Intel Xeon Gold 6144,Intel Xeon Gold 6144
HPE,"ProLiant DL360 Gen10 (3.20 GHz, Intel Xeon Gold 6146)",48,24,2,2,156.0,Not Run,--,--,"3.20 GHz, Intel Xeon Gold 6146",Intel Xeon Gold 6146,Intel Xeon Gold 6146
HPE,"ProLiant DL380 Gen10 (2.80 GHz, Intel Xeon Gold 6143)",64,32,2,2,197.0,Not Run,--,--,"2.80 GHz, Intel Xeon Gold 6143",Intel Xeon Gold 6143,Intel Xeon Gold 6143
HPE,"Synergy 480 Gen10 (2.70 GHz, Intel Xeon Gold 6150)",72,36,2,2,195.0,Not Run,--,--,"2.70 GHz, Intel Xeon Gold 6150",Intel Xeon Gold 6150,Intel Xeon Gold 6150
Huawei,Huawei 2288H V5 (Intel Xeon Platinum 8180),112,56,2,2,302.0,Not Run,--,--,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Huawei,Huawei CH121 V5 (Intel Xeon Platinum 8180),112,56,2,2,300.0,323,--,--,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Huawei,Huawei 2288H V5 (Intel Xeon Platinum 8180),112,56,2,2,298.0,321,--,--,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Huawei,Huawei 1288H V5 (Intel Xeon Platinum 8180),112,56,2,2,298.0,322,--,--,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Inspur Corporation,Inspur NF5170M4 (Intel Xeon E5-2650 v4),48,24,2,2,105.0,112,--,--,Intel Xeon E5-2650 v4,Intel Xeon E5-2650 v4,Intel Xeon E5-2650 v4
Lenovo Global Technology,"ThinkSystem SR650 (2.50 GHz, Intel Xeon Platinum 8180)",56,28,1,2,141.0,149,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Lenovo Global Technology,"ThinkSystem SR650 (2.50 GHz, Intel Xeon Platinum 8180)",112,56,2,2,293.0,310,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Lenovo Global Technology,"ThinkSystem SR950 (2.50 GHz, Intel Xeon Platinum 8180)",224,112,4,2,583.0,621,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
Lenovo Global Technology,"ThinkSystem SR950 (2.50 GHz, Intel Xeon Platinum 8180)",448,224,8,2,1160.0,1230,--,--,"2.50 GHz, Intel Xeon Platinum 8180",Intel Xeon Platinum 8180,Intel Xeon Platinum 8180
